geneID	Sex.Bias.Category	log2FoldChange.Osada	Diff.Splicing.MCabs.vs.MCsim	Diff.Splicing.MCabs.vs.MCcom	Diff.Splicing.MCsim.vs.MCcom
FBgn0000008	Unbiased	0.0711571385246819	Not Significant	Not Significant	Not Significant
FBgn0000017	Unbiased	0.26708842419127	Not Significant	Not Significant	Not Significant
FBgn0000018	Unbiased	-0.121136430851686	Not Significant	Not Significant	Not Significant
FBgn0000024	Unbiased	0.323814316137286	Not Significant	Not Significant	Not Significant
FBgn0000028	Unbiased	0.0594438887043389	Not Significant	Not Significant	Not Significant
FBgn0000032	Unbiased	-0.0784221807000458	Not Significant	Not Significant	Not Significant
FBgn0000036	Unbiased	0.416242993919477	Not Significant	Not Significant	Not Significant
FBgn0000037	Unbiased	0.299993991121707	Not Significant	Not Significant	Not Significant
FBgn0000038	Unbiased	0.2806648867906	Not Significant	Not Significant	Not Significant
FBgn0000039	Unbiased	0.350287218922687	Not Significant	Not Significant	Not Significant
FBgn0000042	Unbiased	0.113909720864216	Not Significant	Not Significant	Not Significant
FBgn0000043	Unbiased	-0.346952699867801	Not Significant	Not Significant	Not Significant
FBgn0000045	Unbiased	-0.11163711053445	Not Significant	Not Significant	Not Significant
FBgn0000046	Unbiased	-0.199009646546733	Not Significant	Not Significant	Not Significant
FBgn0000047	Male-biased	1.88735455457242	Not Significant	Not Significant	Not Significant
FBgn0000052	Unbiased	-0.09468308973454	Not Significant	Not Significant	Not Significant
FBgn0000053	Unbiased	-0.0415660293691243	Not Significant	Not Significant	Not Significant
FBgn0000057	Unbiased	-0.0306834683858143	Not Significant	Not Significant	Not Significant
FBgn0000064	Unbiased	0.0617726808088959	Not Significant	Not Significant	Not Significant
FBgn0000075	Unbiased	-0.207175175488845	Not Significant	Not Significant	Not Significant
FBgn0000077	Unbiased	-0.0507410386922587	Not Significant	Not Significant	Not Significant
FBgn0000083	Unbiased	-0.0355345413784422	Not Significant	Not Significant	Not Significant
FBgn0000084	Unbiased	-0.354605927288885	Not Significant	Not Significant	Not Significant
FBgn0000092	Male-biased	1.35569705562837	Not Significant	Not Significant	Not Significant
FBgn0000097	Unbiased	-0.132259026010679	Not Significant	Not Significant	Not Significant
FBgn0000100	Female-biased	-0.889785659663887	Not Significant	Not Significant	Not Significant
FBgn0000108	Unbiased	0.352230712117397	Not Significant	Not Significant	Not Significant
FBgn0000109	Unbiased	-0.364271283284015	Not Significant	Not Significant	Not Significant
FBgn0000114	Unbiased	-0.0513413369084907	Not Significant	Not Significant	Not Significant
FBgn0000115	Unbiased	-0.168442064131658	Not Significant	Not Significant	Not Significant
FBgn0000116	Unbiased	-0.113405975408884	Not Significant	Not Significant	Not Significant
FBgn0000117	Unbiased	0.0475998654229999	Not Significant	Not Significant	Not Significant
FBgn0000119	Unbiased	-0.114527596842974	Not Significant	Not Significant	Not Significant
FBgn0000120	Unbiased	0.0872839429493138	Not Significant	Significant	Not Significant
FBgn0000121	Unbiased	0.000639355593858738	Not Significant	Not Significant	Not Significant
FBgn0000139	Unbiased	-0.308493711314987	Not Significant	Not Significant	Not Significant
FBgn0000150	Female-biased	-0.522801421942566	Not Significant	Not Significant	Not Significant
FBgn0000152	Unbiased	-0.361385897424288	Not Significant	Not Significant	Not Significant
FBgn0000153	Unbiased	0.45224791102451	Not Significant	Not Significant	Not Significant
FBgn0000157	Unbiased	0.233772697653881	Not Significant	Not Significant	Not Significant
FBgn0000163	Unbiased	0.208883083916475	Not Significant	Not Significant	Not Significant
FBgn0000173	Unbiased	-0.0443370835075802	Not Significant	Not Significant	Not Significant
FBgn0000179	Unbiased	0.0848398698914598	Not Significant	Not Significant	Not Significant
FBgn0000180	Unbiased	0.215042592424537	Not Significant	Not Significant	Not Significant
FBgn0000181	Unbiased	-0.452745629534221	Not Significant	Not Significant	Not Significant
FBgn0000183	Unbiased	0.169617878410729	Not Significant	Not Significant	Not Significant
FBgn0000206	Unbiased	0.0883515635832086	Not Significant	Not Significant	Not Significant
FBgn0000212	Unbiased	0.060179559942892	Not Significant	Not Significant	Not Significant
FBgn0000228	Unbiased	0.0325810611757049	Not Significant	Not Significant	Not Significant
FBgn0000229	Unbiased	0.187740623076722	Not Significant	Not Significant	Not Significant
