geneID	Sex.Bias.Category	log2FoldChange
FBgn0000008	Female-biased	-0.698130703224497
FBgn0000014	Male-biased	1.6338012853097
FBgn0000015	Male-biased	3.15620735480415
FBgn0000017	Female-biased	-1.48940756647201
FBgn0000018	Unbiased	-0.0263039322753586
FBgn0000024	Male-biased	2.73319684074929
FBgn0000028	Male-biased	5.37186840316443
FBgn0000032	Female-biased	-1.79757249208517
FBgn0000036	Male-biased	3.37587144186586
FBgn0000037	Male-biased	2.93806846159789
FBgn0000038	Male-biased	2.86685065147634
FBgn0000039	Male-biased	2.82043668515408
FBgn0000042	Female-biased	-0.805253709206694
FBgn0000043	Unbiased	-0.248148206347818
FBgn0000044	Male-biased	1.83010929452962
FBgn0000045	Male-biased	3.16529493456028
FBgn0000046	Male-biased	3.0555563103599
FBgn0000047	Male-biased	2.93644308894826
FBgn0000052	Unbiased	-0.0499694397231022
FBgn0000053	Male-biased	0.82170867535922
FBgn0000055	Male-biased	1.8297308411068
FBgn0000057	Unbiased	0.470373016974116
FBgn0000063	Female-biased	-1.95688212996181
FBgn0000064	Male-biased	2.06085935624143
FBgn0000075	Female-biased	-2.38799320272539
FBgn0000077	Female-biased	-1.09775630534139
FBgn0000078	Male-biased	1.85444401329169
FBgn0000079	Male-biased	1.82171006323716
FBgn0000083	Male-biased	0.869768766321701
FBgn0000084	Unbiased	0.279857250444906
FBgn0000094	Male-biased	5.33119462492214
FBgn0000097	Female-biased	-0.754528342401397
FBgn0000100	Female-biased	-0.53868257076585
FBgn0000108	Male-biased	2.43920291830409
FBgn0000109	Female-biased	-0.708760653827881
FBgn0000114	Female-biased	-0.640212820442075
FBgn0000115	Female-biased	-0.603545041011833
FBgn0000116	Male-biased	1.94812567132015
FBgn0000117	Female-biased	-1.26136216286431
FBgn0000119	Male-biased	0.957314677501883
FBgn0000120	Male-biased	4.37789715818272
FBgn0000121	Male-biased	3.52913026185277
FBgn0000139	Female-biased	-0.788485685357847
FBgn0000140	Female-biased	-2.50449634128944
FBgn0000146	Female-biased	-3.64727363130514
FBgn0000147	Female-biased	-1.2198395087065
FBgn0000150	Female-biased	-0.906702714332803
FBgn0000152	Female-biased	-0.588096788376228
FBgn0000153	Male-biased	2.27421106394122
FBgn0000157	Male-biased	2.17810499936714
FBgn0000158	Female-biased	-4.73559175015523
FBgn0000163	Unbiased	0.474024554053578
FBgn0000166	Female-biased	-7.03920108134079
FBgn0000173	Female-biased	-0.566200849184681
FBgn0000180	Male-biased	0.657109080470071
FBgn0000181	Female-biased	-1.20781740886976
FBgn0000183	Female-biased	-1.5153429680434
FBgn0000212	Female-biased	-1.64371719430562
FBgn0000221	Female-biased	-1.18572433247629
FBgn0000228	Female-biased	-1.05425378811839
FBgn0000229	Male-biased	1.02396440471638
FBgn0000239	Female-biased	-0.80187253570801
FBgn0000244	Male-biased	1.75824663709468
FBgn0000246	Female-biased	-3.37156794779088
FBgn0000247	Unbiased	-0.039671008232638
FBgn0000250	Female-biased	-1.02972018860962
FBgn0000251	Female-biased	-1.54981532491343
FBgn0000253	Unbiased	-0.0976022162735872
FBgn0000256	Male-biased	2.48400071077242
FBgn0000257	Female-biased	-1.30807466244638
FBgn0000259	Female-biased	-1.24084230875857
