geneID	Sex.Bias.Category	log2FoldChange
FBgn0000008	Unbiased	0.0711571385246819
FBgn0000017	Unbiased	0.26708842419127
FBgn0000018	Unbiased	-0.121136430851686
FBgn0000024	Unbiased	0.323814316137286
FBgn0000028	Unbiased	0.0594438887043389
FBgn0000032	Unbiased	-0.0784221807000458
FBgn0000036	Unbiased	0.416242993919477
FBgn0000037	Unbiased	0.299993991121707
FBgn0000038	Unbiased	0.2806648867906
FBgn0000039	Unbiased	0.350287218922687
FBgn0000042	Unbiased	0.113909720864216
FBgn0000043	Unbiased	-0.346952699867801
FBgn0000044	Unbiased	-0.458136860947671
FBgn0000045	Unbiased	-0.11163711053445
FBgn0000046	Unbiased	-0.199009646546733
FBgn0000047	Male-biased	1.88735455457242
FBgn0000052	Unbiased	-0.09468308973454
FBgn0000053	Unbiased	-0.0415660293691243
FBgn0000055	Male-biased	0.530696254410457
FBgn0000057	Unbiased	-0.0306834683858143
FBgn0000063	Unbiased	0.274755148986141
FBgn0000064	Unbiased	0.0617726808088959
FBgn0000075	Unbiased	-0.207175175488845
FBgn0000077	Unbiased	-0.0507410386922587
FBgn0000078	Male-biased	0.944996730099214
FBgn0000079	Male-biased	1.16659090405303
FBgn0000083	Unbiased	-0.0355345413784422
FBgn0000084	Unbiased	-0.354605927288885
FBgn0000092	Male-biased	1.35569705562837
FBgn0000097	Unbiased	-0.132259026010679
FBgn0000100	Female-biased	-0.889785659663887
FBgn0000108	Unbiased	0.352230712117397
FBgn0000109	Unbiased	-0.364271283284015
FBgn0000114	Unbiased	-0.0513413369084907
FBgn0000115	Unbiased	-0.168442064131658
FBgn0000116	Unbiased	-0.113405975408884
FBgn0000117	Unbiased	0.0475998654229999
FBgn0000119	Unbiased	-0.114527596842974
FBgn0000120	Unbiased	0.0872839429493138
FBgn0000121	Unbiased	0.000639355593858738
FBgn0000139	Unbiased	-0.308493711314987
FBgn0000150	Female-biased	-0.522801421942566
FBgn0000152	Unbiased	-0.361385897424288
FBgn0000153	Unbiased	0.45224791102451
FBgn0000157	Unbiased	0.233772697653881
FBgn0000163	Unbiased	0.208883083916475
FBgn0000173	Unbiased	-0.0443370835075802
FBgn0000179	Unbiased	0.0848398698914598
FBgn0000180	Unbiased	0.215042592424537
FBgn0000181	Unbiased	-0.452745629534221
FBgn0000183	Unbiased	0.169617878410729
FBgn0000206	Unbiased	0.0883515635832086
FBgn0000212	Unbiased	0.060179559942892
FBgn0000221	Unbiased	0.175150734068317
FBgn0000228	Unbiased	0.0325810611757049
FBgn0000229	Unbiased	0.187740623076722
FBgn0000239	Unbiased	-0.424580140348577
FBgn0000241	Unbiased	0.397435240813577
FBgn0000244	Unbiased	-0.230245746217051
FBgn0000246	Unbiased	0.140546627247634
FBgn0000247	Unbiased	0.0203115891191273
FBgn0000250	Unbiased	-0.184901215307623
FBgn0000253	Unbiased	0.194152722283285
FBgn0000256	Unbiased	0.116590387012486
FBgn0000257	Unbiased	0.262923158098623
FBgn0000259	Unbiased	-0.00230954525019465
FBgn0000261	Unbiased	0.0630403605287924
FBgn0000273	Unbiased	0.255601148381362
FBgn0000283	Unbiased	-0.0045553274008809
FBgn0000286	Unbiased	-0.0359672537468428
FBgn0000287	Unbiased	0.224068233795644
FBgn0000289	Unbiased	0.120237701135568
FBgn0000299	Female-biased	-0.763229892964976
FBgn0000303	Unbiased	0.371170810526295
FBgn0000307	Unbiased	0.135149787786588
FBgn0000308	Unbiased	0.0133327965075474
FBgn0000316	Unbiased	-0.469188087941486
FBgn0000317	Unbiased	-0.0985282644094936
FBgn0000318	Unbiased	0.00305223617183134
FBgn0000319	Unbiased	-0.14706899683218
FBgn0000320	Unbiased	0.0718638652123023
FBgn0000326	Unbiased	-0.167917370194243
FBgn0000330	Unbiased	-0.319805267603303
FBgn0000339	Unbiased	-0.00843415095250835
FBgn0000346	Unbiased	0.317378512928599
FBgn0000352	Unbiased	0.221505337691099
FBgn0000370	Unbiased	-0.105842932817884
FBgn0000376	Unbiased	-0.00226239642500168
FBgn0000377	Unbiased	-0.251789056489366
FBgn0000382	Unbiased	0.00242450106814523
FBgn0000384	Unbiased	0.0427947942303055
FBgn0000394	Unbiased	-0.0479545336145037
FBgn0000395	Unbiased	-0.218202980601064
FBgn0000404	Unbiased	-0.0195700528570829
FBgn0000406	Unbiased	-0.437142147494947
FBgn0000411	Unbiased	0.181304760860248
FBgn0000412	Unbiased	0.132847721873182
FBgn0000414	Unbiased	0.228016211040268
FBgn0000416	Unbiased	-0.272317990265052
FBgn0000422	Unbiased	0.169953058112
FBgn0000426	Unbiased	-0.10220925299793
FBgn0000439	Unbiased	-0.333239204395908
FBgn0000447	Unbiased	-0.313529518565884
FBgn0000448	Unbiased	0.455964801985613
FBgn0000454	Unbiased	0.0709875219190202
FBgn0000455	Unbiased	-0.0465513061965449
FBgn0000459	Female-biased	-0.707634982512984
FBgn0000463	Unbiased	-0.234319255205852
