geneID	log2FC.MCabs.vs.MCsim	pVal.MCabs.vs.MCsim	padj.MCabs.vs.MCsim	log2FC.MCabs.vs.MCcom	pVal.MCabs.vs.MCcom	padj.MCabs.vs.MCcom	log2FC.MCsim.vs.MCcom	pval.MCsim.vs.MCcom	padj.MCsim.vs.MCcom	log2FC.sex.Osada	sex.bias.category
FBgn0000008	0.0656250935276814	0.659228529468673	0.999931884588841	-0.0998977586940007	0.501428965643769	0.753988170412838	-0.17061544842047	0.265970732628525	0.591313466639907	-0.698130703224497	Female-biased
FBgn0000014	-0.0698538389060242	0.719549168066501	0.999931884588841	-0.669818293373267	0.00243817630669441	0.119152616031501	-0.606075500358978	0.0115917515311395	0.224196676455954	1.6338012853097	Male-biased
FBgn0000015	0.467107435601455	0.144131029105388	0.999931884588841	-0.580456379759473	0.0307433006368241	0.347291154932566	-1.0528473403864	0.00137508381557604	0.0794521698974657	3.15620735480415	Male-biased
FBgn0000017	0.0186272467719018	0.900248508028051	0.999931884588841	-0.084131647829016	0.616901759759002	0.817661566928897	-0.107803657007865	0.458846389619869	0.728646306100054	-1.48940756647201	Female-biased
FBgn0000018	-0.10760423875199	0.342907189988694	0.999931884588841	-0.0691410579099953	0.600249139211595	0.80909013038385	0.0335091772250911	0.826153709953926	0.933539801478103	-0.0263039322753586	Unbiased
FBgn0000024	0.0719268637061274	0.641955430840248	0.999931884588841	-0.28867850054578	0.0790941312707654	0.445194782910354	-0.366099310549427	0.0258098518365499	0.291673041196877	2.73319684074929	Male-biased
FBgn0000032	-0.0459169444028002	0.74446924317485	0.999931884588841	0.227005565942639	0.0764588756914695	0.442094116883448	0.268083570739201	0.0047914635048184	0.148212711174299	-1.79757249208517	Female-biased
FBgn0000036	-0.107853572690429	0.576541402740233	0.999931884588841	-0.302658079087392	0.123550024115694	0.487164841366565	-0.19869609438323	0.409940276467207	0.6939600736879	3.37587144186586	Male-biased
FBgn0000037	0.485850815270417	0.116094079376854	0.999931884588841	-0.201635121096441	0.503052854432293	0.755964981152003	-0.692714991553508	0.0352973549911858	0.313008494501953	2.93806846159789	Male-biased
FBgn0000038	0.26589810949112	0.241824307181215	0.999931884588841	-0.372079434166817	0.142875523407986	0.496292741731686	-0.644246784401236	0.00709025277283018	0.18139152086126	2.86685065147634	Male-biased
FBgn0000039	0.0356025597478396	0.935335214250998	0.999931884588841	-0.214685643546965	0.599466890107989	NA	-0.256860173835759	0.51464145141008	0.764114739322709	2.82043668515408	Male-biased
FBgn0000042	-0.0380221491027266	0.74259939179343	0.999931884588841	-0.0301614025296054	0.732367056740557	0.88087808643808	0.00286147194781706	0.979481931156794	0.992007551707361	-0.805253709206694	Female-biased
FBgn0000043	-0.0353895174107505	0.640106056714429	0.999931884588841	-0.0840672188277153	0.346900895667386	0.644091029081383	-0.0534202384094809	0.59548428840692	0.811334355777549	-0.248148206347818	Unbiased
FBgn0000044	-0.0276239861260847	0.904333783848206	0.999931884588841	-0.48036676393379	0.0162690479884298	0.2801599880306	-0.45844644427229	0.0388428785457557	0.323233265579581	1.83010929452962	Male-biased
FBgn0000045	0.0736201161928921	0.76090808084972	0.999931884588841	-0.322334298318531	0.108726553057186	0.474607977343428	-0.401010695187087	0.047539062132785	0.340700680997107	3.16529493456028	Male-biased
FBgn0000046	-0.0974991729291353	0.680404061355495	0.999931884588841	-0.488739042185852	0.0309749727697684	0.347910852477152	-0.396913810452615	0.0584632003780927	0.3655898969383	3.0555563103599	Male-biased
FBgn0000047	-0.199428025038298	0.566972542853494	0.999931884588841	-0.674461456868667	0.0262998354241288	0.32928757840674	-0.480223541716029	0.104826162126076	0.435085566253503	2.93644308894826	Male-biased
FBgn0000052	-0.0555493123230604	0.707979107997529	0.999931884588841	-0.169563528728142	0.24686388286234	0.567602021453224	-0.118868847804681	0.307826066893506	0.622439379747249	-0.0499694397231022	Unbiased
FBgn0000053	-0.123118781453091	0.34521022005293	0.999931884588841	0.146718138374574	0.315202701666213	0.620469065976923	0.26492215814111	0.143659921575721	0.476291483044442	0.82170867535922	Male-biased
FBgn0000055	0.391968428800837	0.314551878525333	0.999931884588841	0.144589998242615	0.728007205127171	0.879280159637813	-0.254730163365853	0.590187526646514	0.808381547844308	1.8297308411068	Male-biased
FBgn0000057	0.0390663658478018	0.738874240141226	0.999931884588841	0.0096174285222378	0.920707791673832	0.965368990523682	-0.0345446769314926	0.686635642711083	0.86282610444354	0.470373016974116	Unbiased
FBgn0000063	0.142654176716732	0.365314842074823	0.999931884588841	0.029246227698605	0.77378607173438	0.901840539315627	-0.118215796222882	0.377853135870367	0.673990429945578	-1.95688212996181	Female-biased
FBgn0000064	-0.0354950219084054	0.804259044854245	0.999931884588841	-0.302254872821437	0.0243577157816317	0.323029237864979	-0.271907724034507	0.0278029814674498	0.298881815813037	2.06085935624143	Male-biased
FBgn0000075	-0.451601311420154	0.318594696911877	0.999931884588841	0.338012481644778	0.40846435785781	0.688584834243988	0.784092033236845	0.27685833584321	0.600827895271191	-2.38799320272539	Female-biased
FBgn0000077	0.0200650360430563	0.84101195618993	0.999931884588841	0.0426249754162896	0.496232372021641	0.750545498329969	0.0169642000070553	0.862345177598464	0.948128225474694	-1.09775630534139	Female-biased
